OPERACIàN VOLROD AVALéOS 2025;;;;;;2024;;2025;;Financiero;;
Estado;Departamento;Municipio;Kms;Tipo Ubicaci¢n;Tipo de RH;Tarifa a Cliente;Costo RH Destajo;Tarifa a Cliente;Costo RH Destajo;Margen;Aumento 2025;
Inactivo;Quind¡o;Salento;26; Secundario;Destajo;$ 105.000;$ 84.000;$ 115.500;$ 89.000;23%;;
Inactivo;Risaralda;Pereira;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Risaralda;Dosquebradas;5;Principal;Destajo;$ 75.000;$ 45.000;$ 82.500;$ 47.700;42%;;
Inactivo;Risaralda;Marsella;53; Secundario;Destajo;$ 89.000;$ 62.300;$ 97.900;$ 66.000;33%;;
Inactivo;Risaralda;Santa Rosa De Cabal;15;Cercano;Destajo;$ 85.000;$ 59.500;$ 93.500;$ 63.000;33%;;
Inactivo;Santander;Bucaramanga;0;Principal;Destajo;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Inactivo;Santander;Floridablanca;7;Principal;Destajo;$ 82.000;$ 57.400;$ 90.200;$ 60.800;33%;;
Activo;Valle del Cauca;Cali;0;Principal;Dedicado;$ 67.500;$ 40.500;$ 70.000;$ 42.900;39%;;
Activo;Valle del Cauca;Candelaria;28; Secundario;Dedicado;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;;
Activo;Valle del Cauca;Florida;45; Secundario;Dedicado;$ 118.000;$ 94.400;$ 129.800;$ 100.000;23%;;
Activo;Valle del Cauca;Guadalajara De Buga;68;Terciario;Dedicado;$ 150.000;$ 120.000;$ 165.000;$ 127.200;23%;;
Activo;Valle del Cauca;Jamund¡;24;Cercano;Dedicado;$ 78.000;$ 46.800;$ 85.800;$ 49.600;42%;;
Activo;Valle del Cauca;La Cumbre;37; Secundario;Dedicado;$ 99.000;$ 69.300;$ 108.900;$ 73.400;33%;;
Activo;Valle del Cauca;Palmira;30; Secundario;Dedicado;$ 93.000;$ 65.100;$ 102.300;$ 69.000;33%;;
Activo;Valle del Cauca;Pradera;49; Secundario;Dedicado;$ 114.000;$ 91.200;$ 125.400;$ 96.600;23%;;
Activo;Valle del Cauca;Yumbo;15;Cercano;Dedicado;$ 92.000;$ 64.400;$ 101.200;$ 68.200;33%;;
Activo;Nacional;Visita Fallida ;0;General;Dedicado/Destajo;$ 34.000;IMPORTANTE: En caso de visita fallida, el consultor destajo recibe el 50% de la tarifa normal que se cobra al cliente para esa ubicaci¢n espec¡fica, no se aplica ning£n castigo adicional al consultor. Esto protege al consultor de situaciones fuera de su control.;$ 37.400;IMPORTANTE: En caso de visita fallida, el consultor destajo recibe el 50% de la tarifa normal que se cobra al cliente para esa ubicaci¢n espec¡fica, no se aplica ning£n castigo adicional al consultor. Esto protege al consultor de situaciones fuera de su control.;;;
